有價證券代號及名稱,類別,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode,備註
3526, 凡甲,股票 ,TW0003526000,2007/11/2,上櫃,電子零組件業,ESVUFR,
3527, 聚積,股票 ,TW0003527008,2007/10/29,上櫃,半導體業,ESVUFR,
3529, 力旺,股票 ,TW0003529004,2011/1/24,上櫃,半導體業,ESVUFR,
3531, 先益,股票 ,TW0003531000,2008/4/8,上櫃,光電業,ESVUFR,
3537, 堡達,股票 ,TW0003537007,2010/1/25,上櫃,電子零組件業,ESVUFR,
3540, 曜越,股票 ,TW0003540001,2007/12/12,上櫃,電腦及週邊設備業,ESVUFR,
3541, 西柏,股票 ,TW0003541009,2009/12/22,上櫃,其他電子業,ESVUFR,
3546, 宇峻,股票 ,TW0003546008,2008/4/18,上櫃,資訊服務業,ESVUFR,
3548, 兆利,股票 ,TW0003548004,2008/3/27,上櫃,電子零組件業,ESVUFR,
3551, 世禾,股票 ,TW0003551008,2008/4/15,上櫃,其他電子業,ESVUFR,
3552, 同致,股票 ,TW0003552006,2009/1/7,上櫃,其他電子業,ESVUFR,
3555, 重鳥鵬,股票 ,TW0003555009,2011/11/8,上櫃,半導體業,ESVUFR,
3556, 禾瑞亞,股票 ,TW0003556007,2008/4/15,上櫃,半導體業,ESVUFR,
3558, 神準,股票 ,TW0003558003,2013/12/30,上櫃,通信網路業,ESVUFR,
3562, 頂晶科,股票 ,TW0003562005,2008/6/17,上櫃,光電業,ESVUFR,
3563, 牧德,股票 ,TW0003563003,2011/1/5,上櫃,其他電子業,ESVUFR,
3564, 其陽,股票 ,TW0003564001,2013/12/3,上櫃,通信網路業,ESVUFR,
3567, 逸昌,股票 ,TW0003567004,2010/11/22,上櫃,半導體業,ESVUFR,
3570, 大塚,股票 ,TW0003570008,2008/10/23,上櫃,資訊服務業,ESVUFR,
3577, 泓格,股票 ,TW0003577003,2009/1/6,上櫃,電腦及週邊設備業,ESVUFR,
3580, 友威科,股票 ,TW0003580007,2010/7/9,上櫃,其他電子業,ESVUFR,
3581, 博磊,股票 ,TW0003581005,2015/1/20,上櫃,半導體業,ESVUFR,
3587, 閎康,股票 ,TW0003587002,2009/8/18,上櫃,其他電子業,ESVUFR,
3594, 磐儀,股票 ,TW0003594008,2013/5/7,上櫃,電腦及週邊設備業,ESVUFR,
3609, 東林,股票 ,TW0003609004,2011/1/11,上櫃,電子零組件業,ESVUFR,
3611, 鼎翰,股票 ,TW0003611000,2008/11/26,上櫃,電腦及週邊設備業,ESVUFR,
3615, 安可,股票 ,TW0003615001,2009/4/15,上櫃,光電業,ESVUFR,
3623, 富晶通,股票 ,TW0003623005,2010/4/28,上櫃,光電業,ESVUFR,
3624, 光頡,股票 ,TW0003624003,2011/3/16,上櫃,電子零組件業,ESVUFR,
3625, 西勝,股票 ,TW0003625000,2009/10/28,上櫃,電腦及週邊設備業,ESVUFR,
3628, 盈正,股票 ,TW0003628004,2010/9/9,上櫃,其他電子業,ESVUFR,
3629, 群富通,股票 ,TW0003629002,2010/5/27,上櫃,光電業,ESVUFR,
3630, 新鉅科,股票 ,TW0003630000,2010/4/26,上櫃,光電業,ESVUFR,
3631, 晟楠,股票 ,TW0003631008,2010/12/20,上櫃,電子零組件業,ESVUFR,
3632, 研勤,股票 ,TW0003632006,2011/1/11,上櫃,通信網路業,ESVUFR,
3642, 駿熠電,股票 ,TW0003642005,2011/9/29,上櫃,其他電子業,ESVUFR,
3646, 艾恩特,股票 ,TW0003646006,2012/3/27,上櫃,電子零組件業,ESVUFR,
3652, 精聯,股票 ,TW0003652004,2009/8/27,上櫃,電腦及週邊設備業,ESVUFR,
3663, 鑫科,股票 ,TW0003663001,2012/11/20,上櫃,其他電子業,ESVUFR,
3664, 安瑞-KY,股票 ,KYG0550W1069,2010/6/24,上櫃,通信網路業,ESVUFR,
3666, 光耀,股票 ,TW0003666004,2014/12/4,上櫃,光電業,ESVUFR,
3672, 康聯訊,股票 ,TW0003672002,2015/4/20,上櫃,通信網路業,ESVUFR,
3675, 德微,股票 ,TW0003675005,2012/6/29,上櫃,半導體業,ESVUFR,
3680, 家登,股票 ,TW0003680005,2011/8/31,上櫃,半導體業,ESVUFR,
3684, 榮昌,股票 ,TW0003684007,2014/3/28,上櫃,通信網路業,ESVUFR,
3685, 元創精密,股票 ,TW0003685004,2010/12/8,上櫃,光電業,ESVUFR,
3687, 歐買尬,股票 ,TW0003687000,2011/1/11,上櫃,資訊服務業,ESVUFR,
3689, 湧德,股票 ,TW0003689006,2012/10/18,上櫃,電子零組件業,ESVUFR,
3691, 碩禾,股票 ,TW0003691002,2010/11/18,上櫃,光電業,ESVUFR,
3693, 營邦,股票 ,TW0003693008,2013/11/27,上櫃,電腦及週邊設備業,ESVUFR,
3707, 漢磊,股票 ,TW0003707006,2014/10/1,上櫃,半導體業,ESVUFR,
3709, 鑫聯大投控,股票 ,TW0003709002,1999/4/16,上櫃,電腦及週邊設備業,ESVUFR,
3710, 連展投控,股票 ,TW0003710000,2017/12/29,上櫃,電子零組件業,ESVUFR,
4102, 永日,股票 ,TW0004102009,2001/3/20,上櫃,生技醫療業,ESVUFR,
4103, 百略,股票 ,TW0004103007,2001/3/29,上櫃,生技醫療業,ESVUFR,
4105, 東洋,股票 ,TW0004105002,2001/9/27,上櫃,生技醫療業,ESVUFR,
4107, 邦特,股票 ,TW0004107008,2002/3/4,上櫃,生技醫療業,ESVUFR,
4109, 穆拉德加捷,股票 ,TW0004109004,2002/8/8,上櫃,生技醫療業,ESVUFR,
4111, 濟生,股票 ,TW0004111000,1999/3/6,上櫃,生技醫療業,ESVUFR,
4113, 聯上,股票 ,TW0004113006,2003/7/22,上櫃,建材營造業,ESVUFR,
4114, 健喬,股票 ,TW0004114004,2003/5/12,上櫃,生技醫療業,ESVUFR,
4116, 明基醫,股票 ,TW0004116009,2015/12/16,上櫃,生技醫療業,ESVUFR,
4120, 友華,股票 ,TW0004120001,2003/11/5,上櫃,生技醫療業,ESVUFR,
4121, 優盛,股票 ,TW0004121009,2003/7/25,上櫃,生技醫療業,ESVUFR,
4123, 晟德,股票 ,TW0004123005,2003/10/7,上櫃,生技醫療業,ESVUFR,
4126, 太醫,股票 ,TW0004126008,2004/2/9,上櫃,生技醫療業,ESVUFR,
4127, 天良,股票 ,TW0004127006,2005/7/29,上櫃,生技醫療業,ESVUFR,
4128, 中天,股票 ,TW0004128004,2006/6/9,上櫃,生技醫療業,ESVUFR,
4129, 聯合,股票 ,TW0004129002,2004/9/29,上櫃,生技醫療業,ESVUFR,
4130, 健亞,股票 ,TW0004130000,2012/1/12,上櫃,生技醫療業,ESVUFR,
4131, 晶宇,股票 ,TW0004131008,2004/4/9,上櫃,生技醫療業,ESVUFR,
4138, 曜亞,股票 ,TW0004138003,2010/12/29,上櫃,生技醫療業,ESVUFR,
4139, 馬光-KY,股票 ,KYG5831M1087,2011/4/29,上櫃,生技醫療業,ESVUFR,
4147, 中裕,股票 ,TW0004147004,2015/11/23,上櫃,生技醫療業,ESVUFR,
4152, 台微體,股票 ,TW0004152004,2012/12/21,上櫃,生技醫療業,ESVUFR,
4153, 鈺緯,股票 ,TW0004153002,2013/5/23,上櫃,生技醫療業,ESVUFR,
4154, 康樂-KY,股票 ,KYG527551082,2011/12/28,上櫃,生技醫療業,ESVUFR,
4157, 太景*-KY,股票 ,KYG866171005,2013/8/30,上櫃,生技醫療業,ESVUFR,
4160, 創源,股票 ,TW0004160007,2012/9/17,上櫃,生技醫療業,ESVUFR,
4161, 聿新科,股票 ,TW0004161005,2013/6/26,上櫃,生技醫療業,ESVUFR,
4162, 智擎,股票 ,TW0004162003,2012/9/18,上櫃,生技醫療業,ESVUFR,
4163, 鐿鈦,股票 ,TW0004163001,2012/11/15,上櫃,生技醫療業,ESVUFR,
4167, 展旺,股票 ,TW0004167002,2015/9/8,上櫃,生技醫療業,ESVUFR,
4168, 醣聯,股票 ,TW0004168000,2012/12/18,上櫃,生技醫療業,ESVUFR,
4171, 瑞基,股票 ,TW0004171004,2014/8/14,上櫃,生技醫療業,ESVUFR,
4173, 久裕,股票 ,TW0004173000,2013/10/31,上櫃,生技醫療業,ESVUFR,
4174, 浩鼎,股票 ,TW0004174008,2015/3/23,上櫃,生技醫療業,ESVUFR,
4175, 杏一,股票 ,TW0004175005,2014/4/23,上櫃,生技醫療業,ESVUFR,
4180, 安成藥,股票 ,TW0004180005,2013/12/3,上櫃,生技醫療業,ESVUFR,
4183, 福永生技,股票 ,TW0004183009,2017/3/9,上櫃,生技醫療業,ESVUFR,
4188, 安克,股票 ,TW0004188008,2015/3/24,上櫃,其他業,ESVUFR,
4192, 杏國,股票 ,TW0004192000,2014/10/28,上櫃,生技醫療業,ESVUFR,
4198, 環瑞醫,股票 ,TW0004198007,2014/12/23,上櫃,生技醫療業,ESVUFR,
4205, 中華食,股票 ,TW0004205000,1999/1/31,上櫃,食品工業,ESVUFR,
4207, 環泰,股票 ,TW0004207006,2000/1/21,上櫃,食品工業,ESVUFR,
